Assists,Goal_Shot_Ratio,Goals,MVPs,Player_name,Rank,Saves,Shots,TRN_Score,Wins
"7,532",50,"27,972","4,080",TwelveRL,9945,"18,918","55,930","159,722.90","9,899"
"12,225",45.4,"27,973","5,027",indolent,9943,"27,804","61,552","273,187.70","9,979"
"5,939",51.4,"27,973","3,023",Gutz,9943,"14,909","54,436","133,031.90","6,964"
"7,714",48.7,"27,974","4,000",VRGL,9942,"21,488","57,393","106,042.10","8,095"
"9,969",52,"27,976","5,263",emre6565,9939,"17,734","54,004","162,990.80","10,621"
"13,322",46.5,"27,976","4,750",Vinto,9939,"23,630","60,142","183,769.90","11,612"
"11,328",49.2,"27,978","5,115",Papiskokuji,9937,"17,643","57,062","188,651.30","10,039"
"9,362",48.3,"27,978","3,625",Topgun.,9937,"18,626","57,923","140,348.60","9,653"
"12,129",46.9,"27,979","5,627",vigz 2.0,9936,"17,940","59,613","134,199.50","11,057"
"10,267",48.8,"27,980","5,665",John,9934,"17,879","57,382","198,721.80","9,623"
"6,923",49.3,"27,980","4,933",Btg drx,9934,"17,601","56,838","343,230.40","8,414"
"7,748",52.1,"27,981","5,011",DGKAllDay787,9933,"17,167","54,037","90,132.40","10,148"
"14,672",38.3,"27,982","6,552",Dera,9930,"34,247","73,040","49,240.40","13,246"
"6,132",51.4,"27,982","3,111",goodr1dm,9930,"16,355","54,425","315,566.40","7,405"
"6,231",54.9,"27,982","2,704",seriousvern,9930,"17,027","51,082","233,112.00","8,515"
"13,250",44.3,"27,984","5,200",Patrick,9928,"19,808","63,232","59,794.30","13,318"
"8,176",54.9,"27,984","3,361",ROPPA77,9928,"10,932","51,155","30,972.50","8,744"
"11,648",47,"27,985","5,909",willianccirilo,9926,"23,143","59,481","160,336.40","12,185"
"5,708",53.4,"27,985","1,860",Mr. Monktastic,9926,"12,635","52,974","192,262.90","7,455"
"10,141",48.2,"27,986","4,411",RonSnyder2012,9925,"16,446","58,073","9,398.30","9,455"
"10,698",44.8,"27,988","3,533",KING MAT 050,9923,"23,123","62,434","277,004.70","10,977"
"8,126",50.7,"27,989","5,089",PsikoPath_,9921,"21,234","55,242","331,946.90","9,351"
"12,803",48.5,"27,990","7,880",JAHSTA,9919,"22,938","57,745","71,295.60","14,033"
"9,539",49.3,"27,990","5,480",John Wayne,9919,"16,831","56,763","73,043.00","8,851"
"12,710",43.8,"27,991","6,647",boomski,9917,"21,146","64,253","127,805.60","10,910"
"10,392",44.9,"27,991","6,046",JoeyW97,9917,"22,224","62,324","303,289.90","10,560"
"12,050",46.6,"27,992","5,383",Glitter_Skittles,9915,"21,918","60,170","382,307.90","13,365"
"12,417",44.1,"27,992","6,226",killaperson,9915,"17,177","63,499","295,990.40","10,693"
"4,519",57.2,"27,994","2,524",Cerberus699,9911,"18,132","49,006","62,556.20","7,252"
"16,535",38,"27,994","6,117",Oxiid,9911,"34,682","73,658","138,084.80","14,427"
"14,581",41.3,"27,994","6,103",Forse,9911,"29,856","67,843","309,324.50","13,834"
"12,777",60.1,"27,995","2,643",say something,9910,"8,027","46,610",0,"7,669"
"11,428",48.8,"27,996","5,536",CMock117,9909,"20,370","59,757","230,058.70","10,478"
"10,580",46.3,"27,997","5,209",Fatpython,9904,"20,684","60,503","24,289.50","8,767"
"10,332",52.7,"27,997","4,010",Al Ucinante,9904,"12,446","53,161","115,907.50","10,860"
"11,958",44.8,"27,997","5,645",XxAnarchyKUSHxX,9904,"19,507","62,909","299,803.40","10,568"
"11,755",50.4,"27,997","5,001",ChubbyRat7,9904,"13,254","56,407","121,343.40","10,590"
"11,486",47.5,"27,997","4,319",luis21sg,9904,"19,796","59,673","285,644.80","10,529"
"5,640",51,"27,998","3,331",riese51,9903,"19,813","55,017","440,479.70","7,873"
"7,541",50.9,"27,999","4,225",AceJoeleQori,9901,"13,504","54,976","77,555.50","8,631"
"10,447",47.4,"36,269","8,864",NORTHINSIDEME,2598,"24,627","76,549","152,240.00","14,100"
"18,617",43.3,"36,269","9,053",Massacre 2JZ,2598,"31,448","83,853","381,513.00","17,744"
"9,969",52.1,"36,271","3,985",Tearinnr1ppin,2597,"20,367","69,653","13,262.80","11,245"
"6,179",51.2,"36,273","2,779",Subliminal.,2596,"26,558","70,886","230,155.90","8,767"
"19,321",45.2,"36,292","5,000",Jessengolinski,2595,"21,209","80,229",0,"18,405"
"5,440",52.3,"36,293","2,445",Mendigo792278,2594,"24,810","69,411","83,827.90","8,575"
"12,106",45.6,"36,317","7,185",Yureox,2593,"36,200","79,700","389,551.50","12,569"
"3,803",62.7,"36,326","1,598",quickquick-rip,2592,"8,848","57,925","59,376.00","8,860"
"7,151",52.2,"36,328","4,055",Arbalesto,2591,"20,503","69,609","151,997.40","9,323"
"17,046",45,"36,334","7,960",yankae,2590,"31,534","80,699","195,440.00","15,677"
"14,853",49,"36,337","7,445",YBAX,2589,"37,141","74,162","89,652.80","17,584"
"8,264",50.1,"36,340","3,526",ZukoWick,2588,"25,297","72,504",280.1,"10,053"
"13,538",45.3,"36,342","5,535",ReUltras,2587,"33,878","80,150","390,642.20","13,170"
"5,707",54.4,"36,343","2,917",FormingKhan,2586,"13,907","66,792","211,046.30","8,033"
"6,504",50.3,"36,344","2,688",So lucky...,2584,"23,151","72,335","372,930.10","8,060"
"11,514",50.2,"36,344","5,945",heavenlymuffins,2584,"29,142","72,417",0,"13,216"
"7,975",49.9,"36,345","4,533",alex.,2582,"28,623","72,829","196,887.50","10,710"
"6,433",57.9,"36,345","3,349",ModdAfoX-,2582,"16,641","64,077","198,448.70","11,202"
"8,327",53.7,"36,347","4,128",NIEBA NIE !,2581,"18,534","67,719","156,014.00","9,080"
"13,906",45.5,"36,348","5,275",MR_SHRER,2580,"22,238","79,925","23,113.80","11,222"
"10,012",47.8,"36,358","4,538",Scholar,2579,"28,537","76,117","162,812.80","10,871"
"8,055",53.4,"36,359","3,410",Retro__Racerr,2578,"20,468","68,102","4,250.30","9,483"
"11,627",46,"36,361","5,710",Kami,2576,"29,915","79,008","145,751.30","11,368"
"8,805",51,"36,362","5,832",K_Ober03,2574,"20,697","71,255","80,362.40","9,509"
"20,869",40.1,"36,362","7,058",Filthy,2574,"28,326","91,389","296,328.40","13,929"
"14,939",45.8,"36,369","6,427",WickedStormz,2573,"33,227","79,721","360,324.20","13,791"
"17,181",44.1,"36,373","6,289",Odoyle,2572,"32,009","82,402","362,753.90","15,757"
"14,379",50.7,"36,376","5,387",real_dealieo,2571,"18,700","72,000","412,769.70","13,631"
"14,210",48.1,"36,378","8,129",Askkie,2570,"21,254","75,744","246,871.20","15,995"
"15,206",44.1,"36,379","6,420",shawneeboy,2569,"27,098","82,556","140,644.80","14,125"
"14,710",44.4,"36,382","3,582",Od1ee,2567,"30,434","81,945","298,603.70","14,766"
"11,435",53.9,"36,383","5,596",Gruweschuh,2566,"15,618","68,058","105,795.90","14,189"
"15,815",46.5,"36,386","6,239",CptnnZ,2563,"28,568","78,190","206,738.10","15,823"
"14,243",45.1,"36,386","5,171",Markiquarki,2563,"31,188","80,761","169,070.30","14,083"
"13,704",50.6,"36,389","4,707",Tyrskalf,2562,"12,375","72,322","238,573.30","14,693"
"14,516",48.1,"36,390","6,739",[zeq] [zequenz]™,2560,"26,005","75,764","1,907,030.50","14,364"
"1,401",59.7,"36,390",836,KAURROB,2560,"13,320","62,202","157,636.10","5,824"
"17,560",47.6,"36,393","6,721",Spinnaker73,2558,"15,049","76,454","169,958.10","20,966"
"13,141",43.8,"36,394","4,939",«§oullark»,2557,"29,108","83,144","126,095.70","11,833"
"17,420",42.5,"36,399","6,297",Metallicats33,2555,"33,289","85,743","437,541.80","16,307"
"13,672",46.4,"36,399","7,507",Yinga_Games,2555,"24,299","78,509","121,053.60","12,144"
"15,467",48,"36,402","7,884",xZAGSx,2554,"21,683","75,806","193,729.00","15,346"
"10,910",48.4,"36,405","4,049",moskeetr,2553,"19,243","75,275","173,656.40","10,801"
"14,582",44.4,"36,408","7,295",qpzmwoxn,2551,"27,812","82,083","52,494.20","14,844"
"9,719",56.1,"36,408","5,631",DiavelKs,2551,"12,584","65,345","315,425.20","12,219"
"21,588",47.2,"36,410","8,958",RelishnButtons,2550,"25,825","77,090","123,239.40","17,058"
"6,786",52.4,"36,411","4,186",Bowas,2549,"18,036","71,993","192,059.00","8,999"
"3,586",59.6,"36,412","1,911",kgssa,2548,"16,652","61,077","154,507.20","7,528"
"17,384",45.1,"36,413","6,702",Pineapples_RL,2546,"23,056","80,663","7,900,296.70","18,882"
"15,357",48.6,"36,414","7,608",CU77A,2545,"21,214","74,978","205,776.10","14,223"
